"rets" "tips" "level" "tree_child" "tree_based" "fu_stable" "normal" "gen_no" "degen_no" "neu_no" "recon" "row_row"
"79" 4 45 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"80" 9 48 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"81" 0 20 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"82" 3 38 2 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"83" 22 83 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"84" 100 213 100 TRUE TRUE TRUE TRUE 100 0 0 FALSE 61
"85" 1 20 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"86" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"87" 0 3 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"88" 356 541 356 TRUE TRUE TRUE TRUE 356 0 0 FALSE 61
"89" 0 18 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"90" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"91" 34 93 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"92" 3 43 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"93" 60 161 60 TRUE TRUE TRUE TRUE 60 0 0 FALSE 61
"94" 3 34 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"95" 4 39 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"96" 9 71 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"97" 56 152 56 TRUE TRUE TRUE TRUE 56 0 0 FALSE 61
"98" 3 36 2 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"99" 1 18 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"100" 2 25 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"101" 59 158 59 TRUE TRUE TRUE TRUE 59 0 0 FALSE 61
"102" 11 55 11 TRUE TRUE TRUE TRUE 11 0 0 FALSE 61
"103" 1 17 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"104" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"105" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"106" 3 44 2 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"107" 12 54 12 TRUE TRUE TRUE TRUE 12 0 0 FALSE 61
"108" 6 43 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"109" 5 47 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"110" 39 133 39 TRUE TRUE TRUE TRUE 39 0 0 FALSE 61
"111" 78 177 78 TRUE TRUE TRUE TRUE 78 0 0 FALSE 61
"112" 22 81 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"113" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"114" 1 24 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"115" 7 68 7 TRUE TRUE TRUE TRUE 7 0 0 FALSE 61
"116" 7 47 7 TRUE TRUE TRUE TRUE 7 0 0 FALSE 61
"117" 0 3 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"118" 2 26 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"119" 20 82 20 TRUE TRUE TRUE TRUE 20 0 0 FALSE 61
"120" 0 22 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"121" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"122" 2 26 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"123" 2 20 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"124" 2 27 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"125" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"126" 0 9 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"127" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"128" 0 6 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"129" 0 9 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"130" 0 8 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"131" 2 35 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"132" 4 41 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"133" 0 8 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"134" 5 39 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"135" 0 17 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"136" 21 90 21 TRUE TRUE TRUE TRUE 21 0 0 FALSE 61
